TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1003,248,4,143,44
B,1567,309,13,236,86
C,1218,279,2,101,31
D,927,206,6,90,28
E,16200,1386,146,2110,966
F,1036,344,30,60,76
G,2815,630,29,215,144
H,584,150,16,100,26
I,2056,275,35,268,56
J,1805,671,24,246,55
K,875,355,15,100,17
L,1081,82,2,102,99
M,634,124,5,59,39
N,577,51,0,75,47
O,4585,606,31,357,244
P,6583,701,84,798,387
Q,14751,1464,100,1357,836
R,1807,220,10,257,141
S,587,166,15,50,43
T,466,39,1,80,31
U,1710,605,32,183,90
V,3151,687,41,384,206
