TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,943,287,16,155,20
B,1547,417,35,240,37
C,1205,298,6,102,7
D,889,270,9,99,10
E,15235,2204,269,2224,307
F,1075,416,46,94,26
G,2821,848,58,247,60
H,422,147,14,104,11
I,1966,385,40,242,73
J,1733,706,43,300,21
K,846,350,27,109,10
L,1046,141,16,124,20
M,642,169,8,59,16
N,580,96,9,66,23
O,4231,700,67,366,90
P,6264,931,126,804,156
Q,13614,2078,186,1551,506
R,1674,281,24,280,54
S,619,257,21,55,38
T,400,64,5,70,13
U,1739,750,45,194,41
V,2828,723,46,425,115
