"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",259,14,128,45,643
"BRAC",406,18,262,69,1014
"North Texas RAC",504,11,139,21,827
"Big Country RAC",272,3,117,33,615
"North Central Texas RAC",1973,202,2055,1118,13002
"Northeast Texas RAC",444,37,94,41,549
"Piney Woods RAC",797,35,363,153,1998
"Deep East Texas RAC",167,11,105,51,381
"Far West Texas & Southern New Mexico RAC",335,46,307,265,1572
"Texas ""J"" RAC",549,34,272,53,916
"Concho Valley RAC",346,18,151,16,311
"Central Texas RAC",119,13,97,67,877
"Central Texas RAC",157,9,75,42,389
"Brazos Valley RAC",110,3,69,42,379
"Capital Area Trauma RAC",640,58,348,250,3590
"Southwest Texas RAC",938,115,821,407,4929
"Southeast Texas Trauma RAC",1721,91,1400,1380,12332
"East Texas Gulf Coast RAC",346,21,299,212,1441
"Golden Crescent RAC",265,22,63,48,272
"Seven Flags RAC",123,19,89,34,325
"Coastal Bend RAC",576,33,192,112,1089
"Lower Rio Grande Valley RAC",945,114,439,262,2137
