TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,949,269,8,149,24
B,1509,325,17,253,26
C,1170,255,4,105,4
D,921,271,8,100,13
E,15978,1773,193,2161,326
F,1009,385,37,80,35
G,2831,770,52,271,70
H,579,114,7,128,15
I,2052,331,44,233,39
J,1710,667,42,276,12
K,870,337,19,94,4
L,1098,120,15,96,29
M,666,112,6,71,13
N,542,74,4,63,40
O,4439,635,54,369,86
P,6214,632,93,802,147
Q,14377,1551,136,1405,439
R,1764,201,8,269,50
S,591,203,19,60,23
T,429,36,2,70,15
U,1668,499,44,185,40
V,3100,710,53,432,110
