"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1065,230,14,120,292
"B",1578,318,30,187,322
"C",1329,335,9,101,128
"D",927,255,2,76,55
"E",15191,1819,183,1859,1516
"F",1094,386,12,61,108
"G",2907,655,32,316,255
"H",694,170,7,106,63
"I",2264,388,21,277,928
"J",1800,677,44,227,135
"K",587,234,21,58,32
"L",1240,282,25,110,45
"M",643,135,10,65,43
"N",617,91,0,62,57
"O",4281,799,72,529,137
"P",6293,1537,223,779,243
"Q",15844,2202,165,1626,669
"R",1938,250,10,213,140
"S",538,224,37,77,16
"T",520,88,13,76,58
"U",1719,609,64,242,92
"V",3378,984,84,375,253
