TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,946,286,11,155,24
B,1565,391,50,275,29
C,1192,265,4,103,7
D,894,243,1,98,15
E,15928,1900,225,2184,315
F,1052,401,27,85,37
G,2891,804,57,294,56
H,528,113,10,112,15
I,2113,319,37,239,42
J,1731,682,27,274,13
K,862,339,16,87,7
L,1128,117,10,92,25
M,614,109,8,56,18
N,579,96,8,63,33
O,4450,641,56,366,90
P,6311,805,94,748,148
Q,14436,1814,135,1534,459
R,1648,227,18,256,42
S,606,216,20,63,23
T,415,40,6,69,15
U,1900,830,11,174,41
V,3020,751,56,426,99
