"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",282,19,150,25,593
"BRAC",296,17,234,39,1125
"North Texas RAC",299,10,93,7,850
"Big Country RAC",254,14,102,22,554
"North Central Texas RAC",1793,244,2215,485,13249
"Northeast Texas RAC",339,37,95,30,593
"Piney Woods RAC",773,27,282,93,1947
"Deep East Texas RAC",176,13,100,30,284
"Far West Texas & Southern New Mexico RAC",379,43,273,153,1526
"Texas ""J"" RAC",631,33,267,51,896
"Concho Valley RAC",345,17,122,5,327
"Central Texas RAC",125,15,117,35,917
"Central Texas RAC",113,5,72,19,467
"Brazos Valley RAC",70,10,69,32,397
"Capital Area Trauma RAC",560,39,339,155,3513
"Southwest Texas RAC",643,86,810,270,5085
"Southeast Texas Trauma RAC",1634,128,1542,842,12044
"East Texas Gulf Coast RAC",397,30,256,121,1532
"Golden Crescent RAC",218,18,66,38,327
"Seven Flags RAC",52,4,92,16,368
"Coastal Bend RAC",559,24,186,77,1031
"Lower Rio Grande Valley RAC",736,62,419,200,2292
