TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,942,254,7,151,27
B,1545,377,30,234,51
C,1215,277,6,109,11
D,881,247,3,95,10
E,15491,2036,222,2229,459
F,1058,373,46,98,17
G,2959,874,44,260,73
H,540,134,14,128,20
I,2016,332,34,263,90
J,1770,761,31,270,34
K,879,369,24,100,5
L,1086,147,13,90,39
M,663,174,17,71,20
N,581,134,10,71,16
O,4350,655,61,365,120
P,6301,784,102,771,212
Q,14374,1889,141,1509,657
R,1738,287,16,233,83
S,605,243,18,60,45
T,403,53,10,88,11
U,1789,723,43,195,47
V,2998,733,68,419,152
