"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",315,25,141,24,579
"BRAC",471,49,263,42,956
"North Texas RAC",326,10,126,9,826
"Big Country RAC",299,12,102,20,473
"North Central Texas RAC",2194,228,2331,531,12143
"Northeast Texas RAC",448,33,94,18,532
"Piney Woods RAC",1082,61,346,64,1704
"Deep East Texas RAC",227,14,106,23,229
"Far West Texas & Southern New Mexico RAC",413,60,306,157,1433
"Texas ""J"" RAC",671,33,270,25,809
"Concho Valley RAC",386,20,149,3,283
"Central Texas RAC",127,12,115,43,843
"Central Texas RAC",153,15,66,22,408
"Brazos Valley RAC",151,4,76,39,327
"Capital Area Trauma RAC",852,96,365,178,3355
"Southwest Texas RAC",1044,119,836,217,4565
"Southeast Texas Trauma RAC",2165,134,1523,1013,11358
"East Texas Gulf Coast RAC",396,19,243,114,1052
"Golden Crescent RAC",372,20,68,22,232
"Seven Flags RAC",96,9,91,13,304
"Coastal Bend RAC",651,30,194,68,947
"Lower Rio Grande Valley RAC",956,104,418,172,2160
