"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1102,364,42,140,89
"B",1530,369,36,264,133
"C",1276,371,11,139,51
"D",990,274,4,98,68
"E",19791,1700,124,1925,2491
"F",1108,404,19,82,121
"G",3039,749,27,346,354
"H",631,158,7,89,98
"I",2251,398,65,360,392
"J",1742,597,42,227,110
"K",831,314,20,159,33
"L",1140,144,21,87,126
"M",670,138,9,68,85
"N",635,80,3,67,66
"O",4381,793,74,351,469
"P",6935,1119,123,703,1046
"Q",14349,1530,118,1247,2111
"R",1968,306,12,274,290
"S",634,229,19,53,108
"T",523,45,5,77,152
"U",1738,563,23,181,204
"V",3335,695,34,370,568
