TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1072,262,19,115,160
B,1424,267,8,168,216
C,1199,276,5,88,91
D,984,221,2,68,103
E,16541,1206,53,1860,2595
F,856,136,9,73,146
G,2811,548,15,238,566
H,633,141,4,77,125
I,2061,199,4,285,111
J,1684,549,18,288,183
K,862,303,7,136,56
L,1137,104,9,145,156
M,626,48,0,66,146
N,607,35,0,80,102
O,4385,594,13,407,411
P,6677,703,83,719,757
Q,15529,1481,74,1243,2095
R,1999,273,6,311,298
S,618,149,4,57,113
T,457,14,4,82,38
U,1283,48,2,175,264
V,2925,605,34,347,273
