TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,973,245,7,151,25
B,1550,345,25,240,30
C,1198,269,3,99,12
D,942,225,6,99,6
E,15904,1650,191,2105,521
F,1034,373,42,73,40
G,2835,678,51,241,77
H,520,149,11,88,16
I,1998,278,28,252,48
J,1762,705,33,277,22
K,876,342,18,94,5
L,1125,133,12,99,41
M,663,182,17,63,22
N,584,76,7,81,31
O,4713,636,41,358,105
P,6444,710,84,817,200
Q,14624,1591,122,1492,426
R,1812,348,34,199,83
S,609,193,9,56,23
T,481,34,1,83,19
U,1652,492,34,197,60
V,3130,766,44,396,115
