"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1356,657,60,124,82,617
"B",1406,392,19,204,118,896
"C",664,300,13,104,26,338
"D",839,339,3,79,28,472
"E",14065,1866,320,1882,898,11301
"F",992,357,10,74,104,531
"G",2179,467,26,305,190,1522
"H",545,149,8,93,61,335
"I",1791,390,16,282,173,1228
"J",1367,643,38,233,45,679
"K",708,429,33,83,18,261
"L",1085,278,26,113,28,779
"M",537,112,9,57,52,373
"N",489,133,14,62,20,336
"O",3356,591,82,528,84,2681
"P",5465,1021,165,845,272,4172
"Q",14027,2012,174,1468,511,11504
"R",1728,255,26,259,117,1356
"S",481,164,27,73,45,272
"T",479,102,13,69,80,297
"U",1536,459,47,218,114,963
"V",2950,1063,133,424,278,1609
