TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,984,241,16,131,99
B,1446,311,17,229,167
C,1196,272,2,105,50
D,871,230,1,87,88
E,15810,1354,111,2122,2194
F,907,186,17,112,144
G,2718,600,24,185,381
H,400,75,0,68,50
I,2026,318,33,265,84
J,1726,589,25,257,135
K,886,362,16,91,43
L,1112,93,4,86,212
M,634,106,3,85,119
N,548,76,3,65,90
O,4523,479,6,304,591
P,6533,609,70,696,1034
Q,14390,1317,46,1322,2159
R,1701,165,6,198,379
S,567,118,10,50,126
T,407,3,0,69,54
U,1436,201,0,172,314
V,2987,558,18,308,514
