TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1027,339,9,143,60
B,1451,296,24,228,104
C,1203,305,4,105,29
D,860,214,2,89,42
E,15752,1571,157,2172,1245
F,1007,343,37,59,75
G,2811,782,54,241,193
H,549,123,13,112,39
I,1987,312,32,276,68
J,1729,661,32,253,66
K,886,380,16,86,20
L,1112,107,8,102,138
M,648,111,7,52,61
N,555,62,0,63,58
O,4428,639,41,322,319
P,6449,659,71,743,520
Q,14032,1523,81,1473,1272
R,1600,160,11,257,187
S,599,166,7,51,58
T,422,43,1,75,40
U,1707,565,55,184,131
V,3043,680,36,389,257
