"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",320,30,141,19,572
"BRAC",456,32,259,38,978
"North Texas RAC",356,13,126,8,821
"Big Country RAC",292,9,99,13,472
"North Central Texas RAC",2409,264,2264,531,11742
"Northeast Texas RAC",446,38,98,14,537
"Piney Woods RAC",1145,69,352,63,1647
"Deep East Texas RAC",206,10,100,23,225
"Far West Texas & Southern New Mexico RAC",385,60,304,152,1405
"Texas ""J"" RAC",680,33,273,28,793
"Concho Valley RAC",389,20,149,1,280
"Central Texas RAC",141,15,113,43,814
"Central Texas RAC",179,14,67,20,379
"Brazos Valley RAC",150,4,78,36,321
"Capital Area Trauma RAC",862,97,368,172,3257
"Southwest Texas RAC",1165,113,807,215,4320
"Southeast Texas Trauma RAC",2057,127,1526,995,11095
"East Texas Gulf Coast RAC",384,24,214,129,1072
"Golden Crescent RAC",357,23,69,20,240
"Seven Flags RAC",89,9,91,14,303
"Coastal Bend RAC",666,29,194,69,938
"Lower Rio Grande Valley RAC",976,96,414,169,2086
