TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1057,266,23,99,166
B,1438,213,8,167,272
C,1200,222,4,110,124
D,966,206,0,75,170
E,16438,1143,72,1697,3538
F,866,102,1,57,227
G,2692,488,7,149,770
H,597,112,12,68,172
I,2050,242,15,281,118
J,1700,512,11,261,234
K,863,301,6,111,82
L,1137,95,7,140,211
M,604,39,0,55,232
N,584,35,1,65,146
O,4278,506,6,363,643
P,6614,549,63,653,1085
Q,15003,1354,46,1238,3012
R,2003,208,8,259,526
S,605,138,9,64,174
T,434,9,2,86,49
U,1408,36,0,142,418
V,2876,491,21,285,448
