"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1209,394,6,116,261,554
"B",1512,306,17,196,321,885
"C",1245,352,9,105,109,784
"D",872,249,4,81,44,579
"E",14245,2083,279,2045,1475,10687
"F",1026,382,19,60,111,533
"G",2814,725,24,300,243,1846
"H",605,149,5,115,60,396
"I",2154,345,20,260,877,932
"J",1723,655,44,232,144,924
"K",556,217,15,85,32,307
"L",1231,302,33,116,45,884
"M",631,145,11,68,56,430
"N",622,151,4,58,57,414
"O",4179,821,69,531,139,3219
"P",6573,1459,207,817,283,4831
"Q",15372,2793,268,1632,675,11904
"R",1946,293,27,222,149,1504
"S",572,224,37,76,24,324
"T",503,98,14,83,65,340
"U",1718,671,63,235,94,953
"V",3336,1085,87,397,248,2003
