TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1034,250,14,101,176
B,1395,221,15,170,266
C,1190,222,6,117,117
D,929,214,1,72,177
E,16694,1197,69,1678,3582
F,873,118,1,51,224
G,2802,534,7,128,801
H,597,138,9,76,176
I,2003,227,16,251,110
J,1770,512,15,251,275
K,863,333,11,102,75
L,1133,90,5,142,238
M,605,60,0,40,214
N,593,33,0,76,160
O,4311,461,3,361,674
P,6735,618,65,604,1267
Q,15118,1337,65,1182,3347
R,1918,197,8,260,546
S,594,108,7,53,176
T,446,4,0,80,70
U,1466,115,0,108,483
V,2873,401,5,253,603
