TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,952,262,12,157,22
B,1620,417,37,230,46
C,1223,300,9,102,7
D,878,248,11,103,14
E,15656,2088,242,2152,421
F,1027,392,43,89,20
G,2813,811,48,252,77
H,551,117,9,123,27
I,2068,385,42,266,84
J,1718,669,21,302,30
K,865,362,18,96,14
L,1055,111,15,111,32
M,664,157,16,66,16
N,574,98,3,58,27
O,3795,419,71,366,111
P,6279,915,124,791,166
Q,14281,1919,160,1548,611
R,1687,245,8,260,66
S,608,241,16,50,47
T,379,36,4,73,12
U,1669,644,44,207,45
V,2898,750,54,427,135
