TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,995,223,17,121,164
B,1484,227,9,202,268
C,1204,256,6,114,98
D,881,192,1,82,130
E,15884,1204,66,1878,3097
F,838,134,3,110,188
G,2783,602,12,204,645
H,496,94,2,77,153
I,1978,272,19,256,118
J,1711,506,21,262,284
K,874,344,8,96,73
L,1141,87,2,126,245
M,626,80,1,42,182
N,567,48,0,64,150
O,4193,450,9,307,716
P,6817,664,57,578,1424
Q,14350,1407,105,1176,3239
R,1804,185,13,212,508
S,588,145,5,40,168
T,441,11,0,58,85
U,1406,111,0,108,497
V,2842,390,16,309,674
