"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",300,16,147,26,591
"BRAC",339,21,241,28,1105
"North Texas RAC",291,7,93,5,848
"Big Country RAC",245,3,93,18,574
"North Central Texas RAC",1825,213,2225,504,13235
"Northeast Texas RAC",376,33,97,24,528
"Piney Woods RAC",802,31,295,89,1937
"Deep East Texas RAC",118,13,124,39,397
"Far West Texas & Southern New Mexico RAC",320,48,285,173,1527
"Texas ""J"" RAC",704,32,274,37,825
"Concho Valley RAC",330,18,116,6,337
"Central Texas RAC",152,13,111,38,892
"Central Texas RAC",117,9,72,19,453
"Brazos Valley RAC",71,3,88,33,389
"Capital Area Trauma RAC",640,54,337,161,3491
"Southwest Texas RAC",812,88,828,257,4879
"Southeast Texas Trauma RAC",1763,162,1559,971,12398
"East Texas Gulf Coast RAC",316,14,278,121,1445
"Golden Crescent RAC",247,19,67,37,294
"Seven Flags RAC",42,1,91,26,387
"Coastal Bend RAC",600,35,194,65,974
"Lower Rio Grande Valley RAC",886,59,448,185,2151
