TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1040,240,17,105,166
B,1470,256,5,170,284
C,1193,223,7,110,128
D,904,182,0,75,168
E,16008,1192,71,1719,3556
F,868,128,4,61,227
G,2747,520,8,140,786
H,592,126,4,67,178
I,2019,254,14,258,122
J,1735,532,11,262,257
K,867,329,8,101,74
L,1145,82,7,157,201
M,612,36,0,61,216
N,563,33,0,61,147
O,4179,516,6,354,615
P,6547,674,72,644,1110
Q,14880,1416,41,1291,3094
R,1923,154,2,276,549
S,594,157,4,67,173
T,403,5,2,88,49
U,1432,36,0,143,424
V,2852,499,22,284,449
