"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1349,605,55,117,128,616
"B",1427,318,11,192,176,933
"C",1144,328,9,94,44,772
"D",831,307,5,80,33,491
"E",14665,1724,254,1784,952,11989
"F",950,400,28,81,78,472
"G",2675,707,20,308,233,1735
"H",518,131,13,107,55,332
"I",1894,376,17,273,207,1311
"J",2577,670,25,230,85,1822
"K",478,222,24,77,13,243
"L",1118,284,33,109,31,803
"M",572,148,11,66,52,372
"N",479,128,5,47,26,325
"O",3901,812,79,504,85,3004
"P",6032,1169,168,828,224,4639
"Q",14828,1898,158,1387,529,12401
"R",1762,207,9,255,155,1400
"S",494,166,41,74,41,287
"T",438,78,11,73,77,283
"U",1526,535,39,239,98,893
"V",3257,1127,92,384,271,1859
