TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,943,239,12,129,126
B,1521,365,15,185,247
C,1199,271,1,101,67
D,861,197,0,76,130
E,15332,1324,79,1961,2743
F,854,124,7,113,177
G,2688,528,14,162,531
H,456,89,3,72,98
I,1988,307,30,257,98
J,1658,566,18,254,241
K,865,364,14,100,60
L,1092,84,3,80,243
M,586,64,1,52,160
N,530,46,0,67,131
O,4136,454,9,319,665
P,6701,607,44,606,1268
Q,14113,1471,60,1214,2977
R,1738,130,2,176,561
S,555,109,0,43,148
T,436,9,0,51,85
U,1344,109,0,125,426
V,2783,394,15,327,609
