TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1080,232,16,110,175
B,1444,195,12,179,252
C,1168,203,3,112,129
D,966,221,0,70,169
E,16685,1146,82,1854,3423
F,881,105,0,59,221
G,2886,518,6,153,765
H,589,115,15,80,138
I,2095,220,4,285,111
J,1693,497,13,271,235
K,850,300,7,120,67
L,1231,101,5,143,306
M,614,50,0,51,223
N,581,31,0,74,135
O,4347,513,8,387,612
P,6868,599,63,664,1046
Q,15056,1270,91,1210,2853
R,1969,204,1,247,512
S,635,127,3,55,169
T,457,25,5,86,56
U,1449,33,1,142,430
V,2973,509,27,297,448
