TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,954,266,10,155,23
B,1559,331,28,238,30
C,1267,294,6,102,8
D,929,242,6,98,15
E,16257,1783,240,2181,384
F,1059,363,44,90,24
G,2888,748,54,256,71
H,536,119,8,105,24
I,2148,395,54,248,80
J,1789,685,21,297,32
K,863,320,18,105,10
L,1082,117,13,108,22
M,626,123,6,68,23
N,580,79,7,68,27
O,4350,601,64,367,104
P,6317,658,78,791,155
Q,14338,1652,146,1532,572
R,1759,256,16,263,66
S,621,222,9,55,43
T,426,45,7,73,14
U,1784,738,47,197,38
V,3064,682,55,435,127
