"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1066,314,32,136,65
"B",1517,400,18,263,77
"C",1235,320,9,144,51
"D",964,237,0,97,42
"E",16102,1777,142,1955,1791
"F",1098,422,11,83,101
"G",2848,653,15,347,263
"H",486,132,3,81,65
"I",2178,433,67,300,368
"J",1727,607,30,241,74
"K",829,338,16,141,17
"L",1080,125,18,104,88
"M",624,100,12,62,58
"N",594,93,7,78,68
"O",4350,640,54,346,421
"P",6698,1007,98,735,761
"Q",14527,1704,105,1300,1744
"R",1881,298,14,241,212
"S",634,267,27,60,71
"T",482,86,9,80,79
"U",1758,606,32,168,154
"V",3370,912,38,488,394
