TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,955,263,21,149,25
B,1547,359,36,250,35
C,1238,273,8,102,10
D,922,257,7,94,12
E,16252,2097,318,2339,482
F,1047,390,45,95,18
G,2935,759,40,257,83
H,567,108,13,123,21
I,2150,317,36,256,105
J,1701,642,27,268,45
K,858,334,22,104,4
L,1112,130,15,112,39
M,657,122,9,73,17
N,570,83,6,69,21
O,4336,568,49,365,122
P,6470,675,98,774,223
Q,13995,1558,142,1530,725
R,1773,251,8,225,92
S,666,248,6,63,44
T,433,36,4,86,11
U,1746,663,38,184,48
V,3204,721,70,396,171
