TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1025,244,15,110,154
B,1395,227,12,228,282
C,1194,211,3,114,107
D,938,188,0,73,148
E,16549,1177,82,1858,3294
F,853,116,6,55,193
G,2698,515,9,145,711
H,467,106,17,61,166
I,2075,282,25,255,128
J,1733,499,24,248,312
K,869,335,6,86,74
L,1202,101,3,127,279
M,640,70,0,43,198
N,582,27,0,63,167
O,4309,462,5,334,781
P,6728,559,70,612,1366
Q,15166,1348,60,1051,3490
R,1937,205,4,216,573
S,578,95,1,49,175
T,367,8,0,68,97
U,1452,127,1,106,543
V,2816,361,13,238,694
