"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1238,386,8,120,214,638
"B",1527,276,12,190,277,974
"C",1250,338,11,105,88,824
"D",952,248,2,74,54,650
"E",14936,1663,243,2018,1374,11899
"F",1052,343,17,68,118,591
"G",2846,605,15,298,257,1984
"H",631,148,6,81,43,440
"I",2201,364,11,281,558,1279
"J",1726,618,26,215,122,986
"K",564,195,16,61,36,333
"L",1268,288,36,119,47,933
"M",618,121,11,60,53,444
"N",624,108,6,58,45,471
"O",4271,759,63,534,148,3364
"P",6517,1197,149,813,248,5072
"Q",15052,1723,116,1362,676,12653
"R",2003,209,11,229,143,1651
"S",576,177,34,67,27,372
"T",499,75,17,81,62,362
"U",1719,583,49,231,92,1044
"V",3253,1009,80,381,249,1995
