"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1177,211,7,138,418
"B",1603,294,14,214,408
"C",1288,344,6,95,135
"D",911,217,0,87,149
"E",16428,1498,87,1825,2454
"F",1076,364,8,61,146
"G",3037,753,26,258,441
"H",595,141,15,117,88
"I",2406,466,52,260,742
"J",1792,555,36,232,290
"K",802,305,13,97,90
"L",1234,327,24,106,104
"M",625,118,1,56,119
"N",649,118,4,64,76
"O",4530,867,58,543,267
"P",6585,976,116,721,668
"Q",14825,2189,120,1514,1371
"R",2135,243,9,255,251
"S",530,281,19,65,74
"T",520,33,11,61,136
"U",1689,617,51,191,160
"V",3399,931,50,390,329
