TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,991,231,15,121,162
B,1503,219,9,203,268
C,1210,267,5,111,88
D,906,206,0,80,116
E,16093,1114,76,1854,3103
F,875,169,3,107,201
G,2797,568,17,194,642
H,504,78,0,77,138
I,2015,235,13,260,112
J,1724,530,27,263,264
K,872,334,13,98,70
L,1133,83,2,113,246
M,613,72,1,29,194
N,576,36,0,61,151
O,4229,446,7,313,702
P,6866,620,98,583,1403
Q,14902,1338,58,1177,3191
R,1828,173,10,171,480
S,591,121,4,39,159
T,425,6,0,44,78
U,1398,113,0,113,461
V,2835,386,15,294,722
