TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,940,272,9,145,19
B,1565,341,24,262,25
C,1218,256,4,103,6
D,896,237,6,108,14
E,16212,1748,200,2198,319
F,1042,393,44,75,34
G,2860,727,38,261,55
H,570,105,9,124,22
I,2076,342,41,250,42
J,1717,613,33,277,9
K,869,358,21,108,2
L,1143,113,10,97,23
M,636,132,17,61,10
N,556,73,7,68,40
O,4549,615,57,360,93
P,6356,680,83,787,148
Q,15021,1823,113,1422,469
R,1728,237,16,290,59
S,605,190,20,55,24
T,439,35,0,70,11
U,1705,591,46,197,36
V,3086,679,42,432,104
