TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1055,234,17,108,158
B,1502,257,12,177,267
C,1182,223,3,107,129
D,908,204,0,85,160
E,16024,1201,59,1943,3555
F,871,120,2,62,230
G,2800,542,8,129,789
H,418,99,3,53,130
I,1936,244,14,260,128
J,1670,495,13,262,256
K,867,305,8,101,74
L,1162,83,7,143,197
M,620,64,3,73,194
N,579,46,0,70,136
O,4187,515,8,351,787
P,6587,663,71,637,1107
Q,15134,1337,48,1004,3084
R,1890,174,0,250,530
S,620,168,8,68,169
T,438,16,3,83,53
U,1415,35,0,132,451
V,2827,501,32,276,481
