"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1163,320,13,151,249
"B",1571,317,19,243,352
"C",1230,306,18,104,113
"D",943,265,5,87,148
"E",15964,1460,88,1806,3276
"F",1073,361,10,72,171
"G",3116,728,33,245,543
"H",641,201,14,94,107
"I",2314,484,84,352,429
"J",1806,625,39,234,222
"K",856,332,14,105,89
"L",1241,285,27,100,163
"M",596,89,3,63,155
"N",635,74,0,65,105
"O",4349,749,38,540,426
"P",6611,850,87,736,1064
"Q",17463,2140,123,1439,1863
"R",2022,322,12,242,345
"S",624,221,15,65,90
"T",503,32,6,55,177
"U",1676,550,29,216,197
"V",3453,1013,64,401,440
