"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1080,167,6,110,349
"B",1574,276,23,179,358
"C",1363,358,15,102,114
"D",977,291,1,71,69
"E",15104,1608,170,2031,1524
"F",1019,344,16,77,126
"G",2854,630,33,280,294
"H",581,225,17,112,53
"I",2401,332,29,269,1049
"J",1770,603,36,222,194
"K",576,194,20,70,53
"L",1266,276,24,95,53
"M",626,113,3,58,70
"N",628,71,2,49,58
"O",4379,849,87,550,157
"P",6111,1084,140,651,308
"Q",15598,2209,145,1564,675
"R",1920,263,14,259,146
"S",599,274,26,69,46
"T",510,86,12,69,53
"U",1687,589,57,244,90
"V",3524,1053,74,475,231
