"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1321,436,7,129,165,720
"B",1501,310,20,186,200,991
"C",1218,352,7,95,50,816
"D",962,292,3,82,39,631
"E",14648,1822,230,1769,1179,11647
"F",1068,352,19,81,94,622
"G",2798,686,27,292,209,1903
"H",598,152,7,97,49,397
"I",2105,316,10,293,373,1416
"J",1752,661,38,220,108,983
"K",558,213,15,68,23,322
"L",1202,295,35,109,37,870
"M",649,109,5,55,64,476
"N",638,145,6,57,44,449
"O",4203,703,59,520,99,3401
"P",6259,1254,186,801,246,4759
"Q",15508,1983,172,1410,563,12962
"R",1972,315,26,225,137,1520
"S",565,160,38,71,44,361
"T",459,60,14,69,60,339
"U",1677,560,43,238,93,1024
"V",3518,1050,108,391,255,2213
