"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1272,615,59,120,89,568
"B",1503,384,5,215,129,990
"C",648,286,12,106,30,332
"D",819,319,6,78,31,469
"E",14002,1735,278,1854,817,11450
"F",985,375,18,82,71,539
"G",2130,499,24,298,185,1446
"H",575,213,19,96,56,306
"I",1908,435,27,305,178,1295
"J",1359,623,41,233,47,689
"K",474,208,19,87,12,254
"L",1081,305,27,117,31,745
"M",561,128,13,63,56,377
"N",490,175,16,60,20,295
"O",3432,615,98,525,81,2736
"P",5994,1139,160,809,251,4604
"Q",13966,1847,186,1432,461,11658
"R",1768,320,14,219,135,1313
"S",468,153,31,75,49,266
"T",446,72,23,70,78,296
"U",1543,470,52,229,97,976
"V",3215,1083,108,420,291,1841
