TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,942,260,12,148,23
B,1553,411,52,257,16
C,1219,292,5,99,12
D,843,260,10,110,8
E,15401,2116,237,2177,425
F,1009,412,41,80,37
G,2883,860,56,253,61
H,465,184,15,97,14
I,2035,412,34,245,45
J,1763,735,36,271,15
K,879,370,21,92,7
L,1096,133,10,104,35
M,660,173,16,58,20
N,562,159,14,79,34
O,4602,759,66,364,78
P,6379,950,94,808,175
Q,14051,2051,139,1519,441
R,1652,272,28,252,63
S,587,225,15,49,19
T,441,36,0,72,16
U,1776,645,49,195,45
V,3044,793,53,394,100
