TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,938,236,6,128,98
B,1431,254,28,235,141
C,1185,272,4,105,39
D,898,257,8,97,75
E,15588,1489,115,1996,1783
F,921,217,21,79,129
G,2805,736,39,195,280
H,523,111,13,105,60
I,1955,303,26,280,65
J,1677,603,34,259,102
K,877,365,16,82,44
L,1058,90,10,94,205
M,634,132,11,52,80
N,575,68,6,80,95
O,4444,489,14,316,469
P,6486,640,74,720,790
Q,14212,1571,96,1341,1819
R,1701,184,10,234,341
S,535,142,13,51,91
T,391,5,0,77,45
U,1659,500,52,207,226
V,3099,691,40,366,328
