"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",322,16,151,28,546
"BRAC",359,22,256,34,989
"North Texas RAC",321,16,133,5,819
"Big Country RAC",276,9,100,6,496
"North Central Texas RAC",2251,270,2257,568,11977
"Northeast Texas RAC",438,41,101,18,507
"Piney Woods RAC",907,57,327,72,1738
"Deep East Texas RAC",144,10,116,31,350
"Far West Texas & Southern New Mexico RAC",349,55,297,168,1451
"Texas ""J"" RAC",680,38,269,47,765
"Concho Valley RAC",364,19,126,4,310
"Central Texas RAC",150,14,125,45,833
"Central Texas RAC",159,21,74,23,408
"Brazos Valley RAC",109,11,85,33,351
"Capital Area Trauma RAC",583,50,339,200,3299
"Southwest Texas RAC",896,122,837,252,4577
"Southeast Texas Trauma RAC",1704,132,1443,975,11385
"East Texas Gulf Coast RAC",313,17,270,129,1393
"Golden Crescent RAC",268,23,66,32,277
"Seven Flags RAC",58,6,94,25,338
"Coastal Bend RAC",650,47,196,67,956
"Lower Rio Grande Valley RAC",906,73,458,205,2023
