TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,925,280,13,154,21
B,1576,425,38,258,25
C,1223,288,8,108,4
D,878,250,7,96,11
E,15384,2057,232,2233,316
F,1023,369,39,84,39
G,2848,870,51,263,49
H,441,145,15,101,16
I,2077,380,41,249,52
J,1731,698,29,301,16
K,867,349,20,97,8
L,1126,177,17,97,25
M,662,154,4,62,19
N,539,111,5,69,23
O,4304,658,70,369,87
P,6286,920,146,811,143
Q,14197,1928,119,1494,443
R,1742,262,20,257,48
S,591,230,23,52,33
T,427,65,9,71,16
U,1719,689,45,192,42
V,2964,749,57,425,106
