TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,931,274,9,145,20
B,1539,369,28,263,30
C,1216,258,4,103,7
D,896,235,6,108,14
E,16131,1947,215,2245,334
F,1032,392,41,80,33
G,2923,825,40,251,54
H,568,151,10,110,12
I,2071,358,42,249,39
J,1700,650,34,277,9
K,886,381,21,110,3
L,1122,113,10,103,25
M,686,164,18,61,12
N,562,101,2,67,32
O,4485,634,52,366,96
P,6355,743,97,787,149
Q,14240,1823,124,1497,428
R,1738,228,16,292,54
S,588,217,16,56,22
T,417,34,1,71,13
U,1783,686,40,187,33
V,3050,702,40,431,111
