"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",287,17,136,43,643
"BRAC",388,27,266,38,1062
"North Texas RAC",361,16,131,15,810
"Big Country RAC",266,3,108,21,589
"North Central Texas RAC",2118,217,2166,712,12788
"Northeast Texas RAC",379,25,91,23,583
"Piney Woods RAC",955,54,342,86,1803
"Deep East Texas RAC",198,15,113,34,387
"Far West Texas & Southern New Mexico RAC",365,63,295,230,1525
"Texas ""J"" RAC",653,29,285,43,886
"Concho Valley RAC",362,19,161,7,311
"Central Texas RAC",162,16,126,44,883
"Central Texas RAC",139,8,71,28,460
"Brazos Valley RAC",77,1,76,37,398
"Capital Area Trauma RAC",799,96,355,220,3336
"Southwest Texas RAC",983,140,821,284,4854
"Southeast Texas Trauma RAC",1765,116,1330,1222,11419
"East Texas Gulf Coast RAC",308,16,302,198,1310
"Golden Crescent RAC",314,18,70,28,254
"Seven Flags RAC",105,19,91,24,319
"Coastal Bend RAC",588,33,192,77,1042
"Lower Rio Grande Valley RAC",979,108,435,206,2133
