TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,958,247,10,129,120
B,1444,231,8,206,199
C,1208,245,4,103,69
D,944,228,0,74,106
E,16182,1348,88,1984,2528
F,876,129,2,113,168
G,2691,523,12,158,468
H,541,105,2,85,99
I,2128,291,31,270,85
J,1699,538,17,249,183
K,881,344,14,103,66
L,1112,88,1,97,215
M,629,96,0,63,134
N,570,42,0,66,132
O,4252,455,8,273,675
P,6617,433,46,655,1225
Q,14431,1322,50,1224,2650
R,1812,170,0,221,446
S,597,108,3,50,137
T,443,5,0,70,92
U,1398,107,0,132,407
V,2967,403,25,330,587
