TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,957,261,15,150,28
B,1577,389,26,242,39
C,1232,273,10,103,13
D,892,237,4,94,13
E,16283,2108,264,2268,479
F,1064,343,46,98,15
G,2993,862,42,252,79
H,546,109,14,125,19
I,2119,316,33,254,103
J,1722,678,32,268,39
K,872,348,15,86,4
L,1115,143,17,107,40
M,639,136,11,73,17
N,567,77,7,69,14
O,4384,596,51,366,117
P,6338,682,76,772,213
Q,14710,1636,130,1648,739
R,1775,244,21,243,78
S,641,235,9,63,47
T,437,60,10,86,8
U,1734,631,47,198,49
V,3189,751,66,411,170
