"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1399,528,8,127,146,725
"B",1537,315,25,185,181,1041
"C",1230,350,10,104,38,842
"D",1005,324,4,86,31,650
"E",14656,2026,280,1744,962,11668
"F",1014,393,18,79,78,543
"G",2807,715,30,305,221,1871
"H",646,203,18,106,47,396
"I",2106,372,20,303,259,1475
"J",1762,672,25,227,96,994
"K",558,215,19,74,16,327
"L",1244,322,33,112,32,890
"M",637,135,6,63,56,446
"N",599,162,9,59,26,411
"O",4292,723,70,508,93,3476
"P",6338,1274,168,819,239,4825
"Q",15150,2111,215,1444,523,12516
"R",1876,322,11,265,119,1435
"S",586,176,34,75,46,364
"T",481,78,11,75,65,338
"U",1756,604,54,236,78,1074
"V",3472,1086,99,382,270,2116
