"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1307,619,60,122,84,604
"B",1426,394,23,215,107,925
"C",659,297,15,109,30,332
"D",880,338,8,85,17,525
"E",14072,1813,283,1849,804,11455
"F",943,320,13,66,91,532
"G",2161,526,52,330,158,1477
"H",574,192,7,84,44,338
"I",1772,395,10,293,151,1226
"J",1362,619,39,229,57,686
"K",671,428,35,72,15,228
"L",1087,287,37,115,26,774
"M",560,128,11,63,65,367
"N",467,140,7,61,15,312
"O",3626,810,137,506,100,2716
"P",5423,1005,147,855,259,4159
"Q",13638,2057,193,1436,507,11074
"R",2073,558,43,278,142,1373
"S",477,154,27,73,56,267
"T",477,55,5,64,94,328
"U",1586,607,55,223,101,878
"V",2946,1005,118,433,286,1655
