TSA,Hospital_Beds_Staffed,AvailHospi,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,955,273,17,149,27
B,1572,387,41,246,36
C,1292,328,8,100,12
D,851,255,9,101,14
E,15871,1883,225,2213,496
F,1042,388,44,93,28
G,2962,865,46,290,89
H,546,131,11,126,18
I,2107,361,38,256,118
J,1753,682,28,267,43
K,873,372,23,118,3
L,1047,130,16,113,40
M,603,169,15,72,21
N,499,71,3,65,28
O,4237,602,53,366,117
P,6434,838,114,788,194
Q,14090,1774,146,1512,730
R,1848,331,17,277,96
S,646,285,13,62,42
T,451,47,4,86,15
U,1724,662,33,196,51
V,3145,817,65,413,181
