"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1096,169,11,116,338
"B",1544,272,25,176,364
"C",1353,353,10,102,113
"D",939,287,1,69,74
"E",14893,1663,157,1986,1542
"F",1013,336,21,76,129
"G",2907,635,30,301,280
"H",624,183,15,112,59
"I",2379,344,15,264,1003
"J",1779,597,36,227,183
"K",557,197,20,68,51
"L",1273,296,28,97,51
"M",627,127,7,57,64
"N",647,97,2,46,57
"O",4339,882,101,548,157
"P",6100,1113,140,642,319
"Q",15413,2290,174,1467,658
"R",1574,225,11,183,100
"S",558,248,26,67,42
"T",517,102,17,72,57
"U",1725,615,52,242,88
"V",3507,1086,78,474,225
