"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",310,34,136,25,660
"BRAC",356,38,241,34,1065
"North Texas RAC",309,10,129,9,834
"Big Country RAC",270,10,106,14,595
"North Central Texas RAC",2028,234,2256,542,13004
"Northeast Texas RAC",404,38,91,18,568
"Piney Woods RAC",858,43,340,62,1963
"Deep East Texas RAC",163,14,120,24,387
"Far West Texas & Southern New Mexico RAC",377,68,296,164,1546
"Texas ""J"" RAC",643,31,268,27,875
"Concho Valley RAC",337,18,147,5,335
"Central Texas RAC",132,12,121,47,872
"Central Texas RAC",134,7,59,21,436
"Brazos Valley RAC",112,5,64,38,385
"Capital Area Trauma RAC",823,93,345,192,3422
"Southwest Texas RAC",890,115,831,227,4817
"Southeast Texas Trauma RAC",1732,90,1496,1064,12676
"East Texas Gulf Coast RAC",387,14,302,160,1565
"Golden Crescent RAC",305,23,70,25,277
"Seven Flags RAC",82,18,88,9,316
"Coastal Bend RAC",571,19,194,86,1042
"Lower Rio Grande Valley RAC",998,133,420,161,2223
