TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,916,277,8,157,23
B,1572,392,23,259,23
C,1210,284,6,107,5
D,919,223,1,96,12
E,15999,1827,216,2144,331
F,1031,367,36,85,25
G,2807,801,71,296,46
H,596,153,11,116,15
I,2130,426,49,254,49
J,1721,711,29,303,15
K,875,343,17,101,6
L,1126,172,23,97,28
M,640,140,8,63,12
N,580,91,13,66,26
O,4349,605,61,348,88
P,6247,724,109,818,148
Q,14281,1632,107,1427,491
R,1809,219,13,262,67
S,586,184,21,61,29
T,455,59,2,66,15
U,1742,664,41,180,40
V,3061,731,61,430,113
