TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1073,254,20,115,168
B,1402,249,6,175,225
C,1199,287,5,88,97
D,936,233,0,71,119
E,16006,1393,70,1759,2706
F,821,128,3,72,147
G,2732,570,12,214,614
H,611,138,2,79,152
I,1960,232,6,285,103
J,1658,540,21,284,194
K,849,305,8,136,66
L,1087,117,7,165,181
M,622,55,0,73,158
N,586,30,0,80,119
O,4231,659,25,408,442
P,6526,844,111,713,775
Q,14901,1664,126,1169,2217
R,1839,223,7,236,329
S,623,197,19,57,117
T,416,27,5,83,38
U,1247,52,1,167,271
V,2760,642,40,358,313
