"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",283,14,154,33,589
"BRAC",319,19,239,35,1135
"North Texas RAC",325,15,134,5,850
"Big Country RAC",245,10,103,11,578
"North Central Texas RAC",1686,197,2217,553,13427
"Northeast Texas RAC",377,40,93,20,600
"Piney Woods RAC",846,38,318,76,1907
"Deep East Texas RAC",172,14,126,36,380
"Far West Texas & Southern New Mexico RAC",375,55,285,169,1549
"Texas ""J"" RAC",663,28,267,35,806
"Concho Valley RAC",340,26,134,4,322
"Central Texas RAC",134,20,123,47,904
"Central Texas RAC",120,13,76,17,427
"Brazos Valley RAC",101,7,84,18,387
"Capital Area Trauma RAC",675,73,357,187,3463
"Southwest Texas RAC",578,78,835,235,5129
"Southeast Texas Trauma RAC",1570,137,1541,992,12377
"East Texas Gulf Coast RAC",346,7,303,141,1568
"Golden Crescent RAC",235,22,66,34,314
"Seven Flags RAC",77,15,93,22,354
"Coastal Bend RAC",636,45,191,65,1009
"Lower Rio Grande Valley RAC",825,78,463,182,2255
