TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1031,256,15,104,160
B,1359,235,5,162,287
C,1180,208,8,115,134
D,965,190,0,77,182
E,16348,1148,47,1744,3584
F,864,116,1,57,240
G,2847,545,14,130,822
H,499,139,2,86,159
I,1990,245,8,259,135
J,1746,519,15,252,263
K,871,321,7,107,74
L,1186,112,8,143,206
M,613,44,1,45,202
N,580,30,0,75,155
O,4179,491,5,360,653
P,6621,634,53,606,1183
Q,15206,1439,46,1129,3379
R,1922,142,4,249,503
S,591,120,4,64,174
T,440,7,2,77,61
U,1332,37,0,125,399
V,2929,481,25,264,531
