TSA,Hospital_Beds_Staffed,AvailHospi,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,964,277,17,147,28
B,1582,360,26,246,32
C,1241,274,7,97,14
D,889,240,8,102,14
E,16177,1755,233,2209,507
F,1040,379,40,90,27
G,2903,748,38,299,92
H,593,125,11,126,18
I,2139,336,37,257,124
J,1764,719,35,268,38
K,871,327,20,112,3
L,1103,129,11,112,33
M,591,129,7,74,20
N,553,68,6,64,30
O,4335,574,49,358,115
P,6504,757,103,794,240
Q,14167,1639,125,1552,767
R,1931,318,12,278,103
S,629,235,14,63,46
T,461,43,4,87,15
U,1718,623,42,193,56
V,3211,781,62,403,186
