TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,919,257,10,148,23
B,1530,386,41,261,18
C,1210,282,6,99,12
D,845,256,10,110,9
E,15091,2088,217,2159,443
F,1009,422,41,77,32
G,2868,855,49,243,57
H,471,196,13,94,13
I,2000,404,37,252,48
J,1730,720,38,271,17
K,876,375,21,94,9
L,1100,144,11,106,33
M,642,148,15,62,26
N,554,146,4,76,33
O,4522,733,61,365,84
P,6281,930,94,806,178
Q,14043,2039,142,1475,452
R,1744,251,29,226,68
S,596,237,18,49,17
T,416,30,0,70,18
U,1752,578,41,193,52
V,3052,781,45,395,104
