TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,955,273,17,149,27
B,1587,403,46,246,36
C,1292,328,8,100,12
D,851,258,9,101,13
E,15859,1911,223,2192,496
F,1038,401,44,93,27
G,2961,867,46,290,87
H,467,95,5,106,18
I,2095,358,40,256,118
J,1753,682,28,268,43
K,872,372,23,118,3
L,1047,130,16,113,40
M,603,167,15,72,21
N,499,71,3,65,27
O,4192,598,56,370,122
P,6366,882,116,807,230
Q,13789,1662,123,1284,547
R,1539,159,12,106,42
S,640,282,12,60,42
T,444,59,7,86,15
U,1718,676,34,194,50
V,3118,802,69,418,184
