"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1175,325,20,174,153
"B",1605,398,26,239,164
"C",1247,321,10,131,77
"D",967,229,0,81,104
"E",16699,1482,103,1756,3173
"F",1100,400,26,81,142
"G",3059,729,20,277,443
"H",619,148,15,97,107
"I",2317,413,68,334,427
"J",1803,609,51,234,148
"K",829,297,17,127,59
"L",1212,201,19,102,184
"M",651,183,4,63,122
"N",650,105,0,53,88
"O",4322,741,53,334,521
"P",6998,907,85,626,1428
"Q",15197,1708,82,1297,2521
"R",2062,315,30,316,331
"S",676,264,14,53,147
"T",552,38,7,71,227
"U",1781,530,22,184,227
"V",3514,716,81,352,680
