TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,994,247,18,100,168
B,1444,210,7,262,264
C,1211,216,9,117,122
D,984,202,0,79,175
E,16284,1088,65,1762,3504
F,838,122,1,44,198
G,2757,523,8,122,795
H,542,89,5,70,186
I,2009,227,12,257,121
J,1746,517,15,256,295
K,864,318,8,124,75
L,1131,109,5,102,260
M,632,81,0,40,215
N,581,26,0,72,154
O,4232,462,5,365,690
P,6628,608,73,588,1283
Q,14658,1330,71,1051,3346
R,1924,165,2,254,571
S,564,80,-3,47,178
T,463,6,0,79,79
U,1454,122,1,118,499
V,2939,423,14,253,612
