TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,939,243,6,148,27
B,1531,302,21,235,44
C,1208,268,5,101,20
D,945,249,9,78,22
E,16182,1519,151,2056,680
F,1028,369,35,68,54
G,2871,693,36,225,127
H,581,132,15,110,12
I,2014,284,30,235,72
J,1801,678,30,268,33
K,868,354,22,92,6
L,1123,102,11,100,56
M,653,133,10,61,21
N,613,75,5,82,40
O,4701,671,44,346,160
P,6481,735,87,794,263
Q,14636,1622,112,1418,525
R,1791,193,16,258,93
S,599,155,7,57,28
T,482,30,0,79,20
U,1653,498,18,198,68
V,3087,713,40,377,148
