TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,997,231,13,106,162
B,1462,217,9,197,265
C,1184,227,1,114,97
D,929,187,0,81,140
E,16080,1257,68,1900,3306
F,858,120,3,50,199
G,2673,576,13,177,702
H,477,107,3,63,160
I,2032,280,21,253,128
J,1678,477,19,247,301
K,867,348,9,81,72
L,1169,98,4,117,264
M,627,68,0,43,204
N,566,33,0,66,163
O,4203,437,4,318,751
P,6655,564,59,583,1406
Q,14721,1376,60,983,3500
R,1779,182,3,235,580
S,573,90,5,47,174
T,426,8,0,58,96
U,1450,125,0,98,542
V,2818,373,12,246,716
