TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,922,259,10,155,19
B,1581,375,21,241,31
C,1210,286,7,102,7
D,878,255,7,96,12
E,15691,1868,223,2167,352
F,1016,371,34,82,23
G,2809,759,60,257,62
H,525,147,12,128,22
I,2018,347,43,248,77
J,1729,695,23,299,21
K,839,343,27,109,10
L,1034,136,15,109,17
M,650,148,5,57,18
N,602,95,12,64,23
O,4369,672,62,363,102
P,6388,822,119,810,164
Q,14182,1825,158,1531,522
R,1687,285,17,275,60
S,640,254,18,54,40
T,387,45,4,69,13
U,1795,787,51,189,37
V,2988,723,48,431,113
